Lease_Number,Production_Date,Product_Code,Mon_Oil_Volume,Mon_Gas_Volume,Operator_Number
694,1/1/2019,G,303,148,3368
694,1/1/2019,G,0,398,3368
694,1/1/2019,G,967,98,3368
694,1/1/2019,O,272,1145,3368
694,1/1/2019,O,787,48,3368
694,1/1/2019,O,253,1303,3368
697,1/1/2019,O,0,0,3368
697,1/1/2019,G,513,718,3368
775,1/1/2019,U,0,0,2899
775,1/1/2019,G,0,0,2899
775,1/1/2019,G,1897,87371,2899
786,1/1/2019,O,6935,6820,3295
786,1/1/2019,O,1204,1573,3295
786,1/1/2019,O,2113,3955,3295
786,1/1/2019,G,0,0,3295
786,1/1/2019,U,0,0,3295
786,1/1/2019,O,21,39918,3295
792,1/1/2019,G,0,22765,3247
792,1/1/2019,G,0,0,3247
796,1/1/2019,G,923,3660,2628
796,1/1/2019,U,0,0,2628
796,1/1/2019,O,327,1645,2628
796,1/1/2019,O,1375,1183,2628
796,1/1/2019,O,394,292,2628
796,1/1/2019,G,0,0,2628
796,1/1/2019,G,2573,2707,2628
796,1/1/2019,O,0,0,2628
796,1/1/2019,O,554,2623,2628
796,1/1/2019,G,8682,27395,2628
809,1/1/2019,O,0,0,2628
809,1/1/2019,U,0,0,2628
810,1/1/2019,G,23,35891,3520
810,1/1/2019,G,26,70423,3520
810,1/1/2019,G,0,0,3520
810,1/1/2019,G,0,94643,3520
811,1/1/2019,U,0,0,3295
814,1/1/2019,O,2834,1276,3151
814,1/1/2019,U,0,0,3151
814,1/1/2019,O,0,0,3151
814,1/1/2019,O,1122,1290,3151
819,1/1/2019,O,1653,1960,3151
819,1/1/2019,G,0,0,3151
819,1/1/2019,U,0,0,3151
820,1/1/2019,O,0,0,3295
820,1/1/2019,U,0,0,3295
820,1/1/2019,G,0,0,3295
821,1/1/2019,O,0,0,3151
821,1/1/2019,O,4000,6583,3151
821,1/1/2019,G,439,121425,3151
821,1/1/2019,U,0,0,3151
821,1/1/2019,O,810,812,3151
821,1/1/2019,O,2365,2485,3151
821,1/1/2019,O,4093,3672,3151
821,1/1/2019,O,1979,1582,3151
821,1/1/2019,O,7636,3689,3151
821,1/1/2019,G,0,16130,3151
827,1/1/2019,U,0,0,2375
827,1/1/2019,G,632,0,2375
827,1/1/2019,O,0,0,2375
827,1/1/2019,G,0,0,2375
827,1/1/2019,O,3641,832,2375
827,1/1/2019,G,507,3225,2375
827,1/1/2019,O,2201,2117,2375
827,1/1/2019,O,383,391,2375
827,1/1/2019,G,383,168,2375
827,1/1/2019,O,3164,4258,2375
827,1/1/2019,O,6606,16878,2375
827,1/1/2019,G,0,6641,2375
827,1/1/2019,O,4169,5982,2375
828,1/1/2019,U,0,0,1284
828,1/1/2019,G,0,0,1284
828,1/1/2019,G,297,55301,1284
828,1/1/2019,O,0,0,1284
828,1/1/2019,O,3365,257,1284
829,1/1/2019,U,0,0,3209
829,1/1/2019,G,0,385,3209
829,1/1/2019,O,0,0,3209
829,1/1/2019,O,21,446,3209
829,1/1/2019,O,1720,15639,3209
